lat_diff,lon,tag,error,lat,type,lon_diff
0.004583099999997842,-79.3716564,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6188169,node,0.09015640000001213
0.004800399999993488,-79.3714563,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6185996,node,0.08995630000001142
0.004486599999999896,-79.3708452,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6189134,node,0.089345200000011
0.004410599999999931,-79.3705152,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6189894,node,0.08901520000000573
0.004332099999999173,-79.3701197,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6190679,node,0.08861970000000952
0.004193699999994749,-79.3699087,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6192063,node,0.08840870000000223
0.0040335999999996375,-79.3698475,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6193664,node,0.08834750000001179
0.0038174999999966985,-79.3698922,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6195825,node,0.08839220000000125
0.003548399999999674,-79.3700183,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6198516,node,0.08851830000000405
0.00312279999999987,-79.3704829,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6202772,node,0.08898290000000486
0.002972599999999659,-79.3705803,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6204274,node,0.08908030000000622
0.002795999999996468,-79.3706262,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6206040,node,0.0891262000000097
0.002629100000000051,-79.3704082,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6207709,node,0.08890820000000588
0.002473499999993578,-79.3700933,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6209265,node,0.08859329999999943
0.002484199999997827,-79.3696730,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6209158,node,0.08817300000001183
0.00255109999999803,-79.3693380,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6208489,node,0.08783800000000497
0.0024594999999933975,-79.3689207,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6209405,node,0.08742070000000979
0.0023557999999965773,-79.3681882,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6210442,node,0.08668820000001176
0.002291399999997168,-79.3679042,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6211086,node,0.08640420000000404
0.002132299999999532,-79.3674823,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6212677,node,0.08598230000001195
0.0020434999999991987,-79.3671037,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6213565,node,0.08560370000000717
0.002015199999995332,-79.3662537,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6213848,node,0.08475370000000737
0.0019544999999965285,-79.3658655,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6214455,node,0.08436550000000409
0.0017863999999931934,-79.3655423,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6216136,node,0.08404230000000723
